name,time,temperature,seriesA,seriesB
Temperature,2016-02-10T11:00:00Z,1.7,1.7,
Temperature,2016-02-10T12:00:00Z,1.983333333,1.983333333,
Temperature,2016-02-10T13:00:00Z,1.683333333,1.683333333,
Temperature,2016-02-10T14:00:00Z,1.6,1.6,
Temperature,2016-02-10T15:00:00Z,,,
Temperature,2016-02-10T16:00:00Z,,,
Temperature,2016-02-10T17:00:00Z,0.4,0.4,
Temperature,2016-02-10T18:00:00Z,-0.01666666667,-0.01666666667,
Temperature,2016-02-10T19:00:00Z,-0.28,-0.28,
Temperature,2016-02-10T20:00:00Z,,,
Temperature,2016-02-10T21:00:00Z,,,
Temperature,2016-02-10T22:00:00Z,,,
Temperature,2016-02-10T23:00:00Z,,,
Temperature,2016-02-11T00:00:00Z,,,
Temperature,2016-02-11T01:00:00Z,,,
Temperature,2016-02-11T02:00:00Z,,,
Temperature,2016-02-11T03:00:00Z,,,
Temperature,2016-02-11T04:00:00Z,,,
Temperature,2016-02-11T05:00:00Z,,,
Temperature,2016-02-11T06:00:00Z,,,
Temperature,2016-02-11T07:00:00Z,,,
Temperature,2016-02-11T08:00:00Z,,,
Temperature,2016-02-11T09:00:00Z,,,
Temperature,2016-02-11T10:00:00Z,0.8,0.8,
Temperature,2016-02-11T11:00:00Z,0.9,0.9,
Temperature,2016-02-11T12:00:00Z,0.9222222222,0.9222222222,
Temperature,2016-02-11T13:00:00Z,0.7,0.7,
Temperature,2016-02-11T14:00:00Z,0.55,0.55,
Temperature,2016-02-11T15:00:00Z,-9.25E-18,-9.25E-18,
Temperature,2016-02-11T16:00:00Z,-0.95,-0.95,
Temperature,2016-02-11T17:00:00Z,-1.45,-1.45,
Temperature,2016-02-11T18:00:00Z,-1.916666667,-1.916666667,
Temperature,2016-02-11T19:00:00Z,-2.283333333,-2.283333333,
Temperature,2016-02-11T20:00:00Z,-2.616666667,-2.616666667,
Temperature,2016-02-11T21:00:00Z,-2.683333333,-2.683333333,
Temperature,2016-02-11T22:00:00Z,-2.883333333,-2.883333333,
Temperature,2016-02-11T23:00:00Z,-3.233333333,-3.233333333,
Temperature,2016-02-12T00:00:00Z,-3.266666667,-3.266666667,
Temperature,2016-02-12T01:00:00Z,-3.266666667,-3.266666667,
Temperature,2016-02-12T02:00:00Z,-3.483333333,-3.483333333,
Temperature,2016-02-12T03:00:00Z,-3.25,-3.25,
Temperature,2016-02-12T04:00:00Z,-3.25,-3.25,
Temperature,2016-02-12T05:00:00Z,-3.266666667,-3.266666667,
Temperature,2016-02-12T06:00:00Z,-3.15,-3.15,
Temperature,2016-02-12T07:00:00Z,-2.683333333,-2.683333333,
Temperature,2016-02-12T08:00:00Z,-2.35,-2.35,
Temperature,2016-02-12T09:00:00Z,-1.9,-1.9,
Temperature,2016-02-12T10:00:00Z,-1.316666667,-1.316666667,
Temperature,2016-02-12T11:00:00Z,-0.8166666667,-0.8166666667,
Temperature,2016-02-12T12:00:00Z,-0.26,-0.26,
Temperature,2016-02-12T13:00:00Z,-1.033333333,-1.033333333,
Temperature,2016-02-12T14:00:00Z,-2.016666667,-2.016666667,
Temperature,2016-02-12T15:00:00Z,-1.383333333,-1.383333333,
Temperature,2016-02-12T16:00:00Z,-2.183333333,-2.183333333,
Temperature,2016-02-12T17:00:00Z,-2.533333333,-2.533333333,
Temperature,2016-02-12T18:00:00Z,-2.733333333,-2.733333333,
Temperature,2016-02-12T19:00:00Z,-2.833333333,-2.833333333,
Temperature,2016-02-12T20:00:00Z,-3.033333333,-3.033333333,
Temperature,2016-02-12T21:00:00Z,-3.1,-3.1,
Temperature,2016-02-12T22:00:00Z,-3.1,-3.1,
Temperature,2016-02-12T23:00:00Z,-3.166666667,-3.166666667,
Temperature,2016-02-13T00:00:00Z,-3.333333333,-3.333333333,
Temperature,2016-02-13T01:00:00Z,-3.433333333,-3.433333333,
Temperature,2016-02-13T02:00:00Z,-3.633333333,-3.633333333,
Temperature,2016-02-13T03:00:00Z,-3.816666667,-3.816666667,
Temperature,2016-02-13T04:00:00Z,-3.883333333,-3.883333333,
Temperature,2016-02-13T05:00:00Z,-3.8,-3.8,
Temperature,2016-02-13T06:00:00Z,-3.75,-3.75,
Temperature,2016-02-13T07:00:00Z,-3.933333333,-3.933333333,
Temperature,2016-02-13T08:00:00Z,-3.1,-3.1,
Temperature,2016-02-13T09:00:00Z,-2.82,-2.82,
Temperature,2016-02-13T10:00:00Z,-2.9,-2.9,
Temperature,2016-02-13T11:00:00Z,-2.416666667,-2.416666667,
Temperature,2016-02-13T12:00:00Z,-2.566666667,-2.566666667,
Temperature,2016-02-13T13:00:00Z,-2.116666667,-2.116666667,
Temperature,2016-02-13T14:00:00Z,-2,-2,
Temperature,2016-02-13T15:00:00Z,-2.366666667,-2.366666667,
Temperature,2016-02-13T16:00:00Z,-4.1,-4.1,
Temperature,2016-02-13T17:00:00Z,-6.233333333,-6.233333333,
Temperature,2016-02-13T18:00:00Z,-7.133333333,-7.133333333,
Temperature,2016-02-13T19:00:00Z,-7.75,-7.75,
Temperature,2016-02-13T20:00:00Z,-8.466666667,-8.466666667,
Temperature,2016-02-13T21:00:00Z,-8.95,-8.95,
Temperature,2016-02-13T22:00:00Z,-9.316666667,-9.316666667,
Temperature,2016-02-13T23:00:00Z,-9.35,-9.35,
Temperature,2016-02-14T00:00:00Z,-8.1,-8.1,
Temperature,2016-02-14T01:00:00Z,-7.64,-7.64,
Temperature,2016-02-14T02:00:00Z,-7.3,-7.3,
Temperature,2016-02-14T03:00:00Z,-7.35,-7.35,
Temperature,2016-02-14T04:00:00Z,-8.583333333,-8.583333333,
Temperature,2016-02-14T05:00:00Z,-9.516666667,-9.516666667,
Temperature,2016-02-14T06:00:00Z,-10.18333333,-10.18333333,
Temperature,2016-02-14T07:00:00Z,-10.38333333,-10.38333333,
Temperature,2016-02-14T08:00:00Z,-9.25,-9.25,
Temperature,2016-02-14T09:00:00Z,-7.166666667,-7.166666667,
Temperature,2016-02-14T10:00:00Z,-5.333333333,-5.333333333,
Temperature,2016-02-14T11:00:00Z,-4.816666667,-4.816666667,
Temperature,2016-02-14T12:00:00Z,-4.3,-4.3,
Temperature,2016-02-14T13:00:00Z,-4.3,-4.3,
